author,,text,author
1,100,country by myself you wouldn t get far he answered as you do not speak the language you would have to give up your plan in about an hour x sugar princess but you understand it she said regarding him steadily sufficient for practical purposes well that would answer i didn t mean to go absolutely alone of course i meant it would be a nice thing to do if who can talk was to go with me well i hope you ve been enough they took the again and the looked up to see what direction they were to go said to her brother in a half sulky way that mr thought they ought to join the rest of their party and as it made no difference to him he nodded an assent taking this for an agreement on that question directed the men to turn about other were asked as they trotted past where the foreigners from the grand hotel were and they soon found them a little way out into the country with his usually slow brain had not at once caught the full significance of miss van s suggestion as to a journey into the interior when it came to him his breath grew shorter and his head felt faint what a dream it would be to take that lovely being under his protection through the wonderful scenery of the mountain regions guiding her to the views watching her bright eyes open with wonder as the magnificent unfolded no one there to witness her delight but he no one else on whom she could rely for direction and care and then almost as soon as the picture had itself it dissolved a princess madness mere madness when would he learn that he was a poor travelling companion to mr and that she was the daughter of the richest when would he realize that the difference between them was greater than that between and her island home across the pacific in speaking of taking him as her sole escort he believed miss van had revealed to the full the place he occupied in her mind he was to her merely a servant something a little better educated and intelligent perhaps but no more to be regarded than the who would draw her or lead her pony if this were not the case she would not talk to him like that when the party returned to the hotel for lunch mrs van the ride a success she had seen enough other ladies in the same sort of vehicle to relieve her from worry on the score of propriety to be sure it was impossible that many of them could hold quite as high a position in life as she did that lot was given to but few mortals but she was satisfied that she had done nothing from the of mrs in the course of the ride they had met the of and his friends to whom she had never succeeded by the way in being introduced and she had bowed with becoming dignity when the gentlemen formally lifted their hats they could not have been ten days on the without knowing who she was and the lady congratulated herself on this entrance into the exclusive circles of foreign nobility a sugar princess the main difficulty during the ride had been tc suppress within reasonable limits the noisy of mrs young s charming children the satisfied air with which the mother heard their shouts and witnessed their even exceeded the disgust on the faces of the others the children made common cause whenever opportunity availed against poor mr apparently on the ground that he was a natural and eminent enemy of their family though what he had done to deserve this treatment did not in the least appear it was a sight to witness the soft smile with which he met their most impertinent and the courteous way in which he tried to or to answer their questions an temple which the party visited set master angel wild with delight he entered with the others staring with wide open mouth at the grotesque images before whom a dozen were prostrate what a lot of blind people there are in this country remarked in a low tone what did you expect angel demanded don t you know your the heathen in their blindness bow down to wooden stone say what s wooden stone anyway i think you mean wood and stone suggested mrs young pleasantly no he insisted it s wooden stone you read it that way on sunday at the service didn t you e i mean mr bow down to wooden stone a sugar princess yes sir anyway there s no stone here it s all wood perhaps they think its wooden stone though he added because they re blind then he gave a loud yell caused by bringing his head into collision with a wooden post had made a pass at him on purpose to make him and receive the blow a rush across the room on his part and an attempt of hers to escape succeeded this effort and then several broke the quiet of the place on coming out of the temple two large wooden gods at the entrance which the children had not noticed before claimed their united attention these images had particularly faces and their bodies were nearly covered with what are usually called and which i do not know how to describe with any more delicate term the of these believe the most effective way to offer their prayers is to write them on paper them up and throw the against these wooden sides if the sticks it is believed the petition has been received if it falls the contrary interpretation is given to the incident angel and got so interested in these images that they could hardly be dragged off to their they resisted when their mother urged them to ,1
1,101,quietly the rate of wages we are paying the free rents we are giving the shorter hours we are running are all with a unless it be a very small one you and i and the may consent to sacrifice our the other do not so consent and yet we have taken away the income of their property in one sphere of life this is what is known as a business transaction in another it is called robbery the color came and went in s cheek and her bosom heaved rapidly you would not have the he continued tells me you said you would give even him up to the police if you knew he was concerned in that affair but you are as effectually destroying the property of the people whose money is in these mills as if you had personally applied the electric current to the mill no i lying yonder in ruins is just as profitable to its owners to day as any of the other six i have helped you to bring about this condition of affairs because i love you â not because i can persuade myself that it is right she stared about the room they robbed us for years she said in a low ton more as if addressing herself than him they gave ii low wages and long hours and kept for themselves sums out of the product of our toil now that we have the opportunity may we not in justice take back our own in the twenty two years that and my r worked for them they received the cost of two â three times over for the love of heaven how much do we owe them now but he answered those who own the great central shares to day are largely men and women who have bought them in recent years some who paid and a share could not sell now for they are not to blame for the injustice of which you speak and yet we make them suffer for it to some of them the loss will mean great hardship to others utter misery you and i have done it let us not seek to our responsibility she spoke with set gaze like a why did they buy the stock she i will tell you they hoped to gain an easy living for themselves through the low labor of the in these mills they knew or could have known by what outrageous oppression the twelve per cent on the watered stock were produced they took a in the as their ancestors did in ships and if the were caught and swung from the yard arm â if the rose and cut the throats of their â who spent their sympathy on the these of stock played at a game of hazard and they have lost i for one shall waste no tears on them he did not answer and after a little time she went on the capital of the is all that was ever invested here is knows he has looked it up they built the first three mills and part of the houses out of that million and the rest have grown from the the has had a famous time he has drawn enormous profits the workman has merely been allowed to exist speaking of his wife and children have been compelled to labor bi his side he and they have produced this immense property the have taken their share it is time he had part of his he waited again but she seemed to have for the present i have a number of he said presently under which i hold shares in these mills for various wards other than the took an oath in every case to protect the interests of my i have asked the courts to relieve me of these when i give up my i wish to hand to my in cash the market value of the shares on the day i was first elected agent i find that my own property if converted into money will suffice for that before we are married i wish this load lifted from my conscience looked at him strangely i see she said you wish to put all the on my shoulders so far as you are personally concerned you mean to clear yourself what you have done in my name you will leave for me to bear it shall be so i will buy all the stock you wish to sell and you shall fix the price i should like if you please to the business at once her tone and manner had become so coldly distant that he took alarm he you are not speaking as my promised wife should speak i â she stopped him with a motion of her hand the i want the stock you wish to sell f i am waiting he bit his lip the are at the agency two strange i ro there of them spoke till they reached the agency and then io more was said than was necessary to complete the transfer when it was finished she said i would like you to do another thing i made you a promise â i said i would marry you i wish a release the clock in the room so loudly that he wondered what it he had half expected the demand so coldly stated but that did not lessen the pain of it his eyes grew you are released he i will tell you why you need not then good good bye he repeated are you going to leave he could feel in fibre of his being under what a strain she was laboring as she stood there hesitating at the threshold i give you my reasons she said i owe it both to you and myself i could not marry a man who turned women and children out of doors in october who cared ,1
1,102,s swimming eyes the world seemed vanishing into space he met the ripe lips that bent down to him and a kiss as sweet as the honey of and delicate as the wing of a butterfly sealed the for several minutes they rode on with their hands clasped and then s was gently withdrawn she did not mean to attract the attention of her fellow and the tea house was now within sight during the time spent for rest she in her ordinary manner with mr and olive who seemed in very good spirits they were indeed too deeply engrossed in each other to pay much attention to what anyone else was doing the descent into the village of would have revealed some wonderful scenery to people who had eyes for anything but each other but to and there was nothing worth seeing at the present moment but the companion who rode near the others a sugar princess behind either purposely or by accident leaving them quite alone with their at points where the road grew slippery and stony they dismounted and walked for some distance fearing that the might fall under their weight helped over many places where her little feet could not otherwise pass dry shod sometimes he carried her bodily for a few rods declaring in response to her that she was like a feather to him it pleased her to have his strength exerted for her benefit and she knew well that she formed no heavy burden for a man of his about four o clock they came to a second where the stopped to rest and to feed their horses and the young couple proceeded on foot the road having grown much better there is such sweetness in being entirely alone with those we love and yet though one would think there must be much to say and many things to explain neither made the least reference to the great subject that occupied their minds they talked of the scenery and the climate even of far off there are thoughts too deep for utterance and both were well content to all explanations to a future day before reaching the overtook them and they their animals the other three did not arrive till nearly an hour later than they whether or not had received a hint not to ride too near her mistress i will leave the reader to guess for his opinion on that matter is quite as likely to be correct as mine a sugar princess the next morning the took to from which they decided to go direct to sent a to her mother asking her to join them at the capital and knew she would be only too glad to do so cars had to be changed at and the were so great that was not reached until ten in the evening arriving at the imperial hotel it was learned that mrs van had not arrived but a was received from her stating that she would start on the following morning the closed with the mysterious words if mr l is with you do not commit yourself something important has happened smiled softly as she read the words she wondered what her mother would say if she knew what had happened of much more importance than anything she referred to bade her good night in a steady voice avoiding looking directly at her for fear might notice something unusual in his eyes thought it hard but realized that he could not act differently with discretion when her chamber door closed upon her and the maid she threw her arms around and sobbed oh i m so miserable and so happy just before mr retired a note was brought to him and a few minutes later he had walked a short distance from the hotel to meet its author out of the shadow thorn came to meet him have you brought it he asked nervously mr drew a paper from his pocket which thorn anxiously by the aid of a cigar light a sugar princess er thirty years of age he read five feet eight inches in height weight stone dark hair and eyes no beard eleven stone six is pounds he commented making a mental calculation your description might have been made for me are you sure it can get you into no trouble if i use your you are very welcome to it replied the englishman don t try to go to the united states at present however take a steamer to and proceed from there by easy stages if you need further assistance and will write to me i will gladly render it thorn grasped the extended hand i don t know how to thank you enough he said the money you have me shall be a debt of the most sacred honor as soon as possible i will repay it with interest good night it may be dangerous for us to be seen talking together and with another caution to lose no time in leaving the country withdrew among the earliest guests of the imperial to arise the next morning was he had been too much to sleep very soundly as he passed out of the hotel he encountered a familiar face that caused him to start in surprise the owner of the face walked straight toward him seeming delighted at the meeting speak of the devil exclaimed the new comer i was just wondering where in this queer country you were hiding and if i should be lucky enough to run across you i m more than glad to set eyes on you a princess again you haven t forgotten summer of san no indeed but what on earth are you doing here something it will interest you to know you remember old the of course you do well i m here on an errand of his you see my best girl went back on me the fortune ,1
1,103,those who possess wealth always expect to derive an their marriage bond advantage from th poverty of others she was following at last seeing the girl go into a street which had but one outlet waited and watched her she must either enter one of the houses on this short way or return it was soon evident that she was going to pursue the latter course for she showed signs of surprise when she reached the end of the street and discovered that it went no farther she came back slowly and when she reached mr there were no other persons within hearing i beg your pardon miss he said in a pleasant voice and stepping in front of her may i speak to you for a moment it was the first time she had noticed him for her eyes had been fastened upon the pavement during most of her walk she looked up with a startled surprise a glance told her that he was a very well dressed gentleman and her natural instinct whispered that he could want nothing good of her i do not know you she responded in a trembling voice you have no right to address me she resumed her walk more rapidly than before but who knew the lessons of street acquaintance by heart was not in the least discouraged by the he followed after her murmuring in the sweetest voice that she ought not to him that she had his highest respect and that if she would give him but a minute he would prove the assertion it was a sight familiar enough in most cities as the pair on their journey through the streets they were observed by more than one who stopped and surveyed them with an air of amusement the girl was walking fast with her face turned from the their marriage bond man at her side whose nothing from the manner in which his addresses were received the increased as the girl he home laughter came from various groups at the spectacle created but the feather that was to break the hack of the came when a half drunken from the against which he had been leaning and put his hand on the girl s shoulder while he shouted a wholly invitation in her ear the girl stopped as if she had been shot and shook with fear the disagreeable quality of mr s were as nothing compared with this assault his tones had at least been kindly his words those of a gentleman in the in which she wag now placed she turned instinctively to him for protection from the greater danger oh sir was all she could articulate but her wish was clearly understood taking the by the whirled him around like a top ending by leaving him in a heap on the pavement luckily the fellow found no sympathy from his companions who seemed rather pleased than otherwise at his seeing that the coast was now clear and that an opportunity wholly unexpected had placed the young woman under obligations to him drew her not unwilling arm through his own and lost no time in putting a good distance between them and the late collision i thank you very much indeed said the feminine when they were safely away from the place and now if you please leave me here i am obliged to go home my dear child interrupted let me at least accompany you to your door you are possessed with a notion that i intend you some harm and are almost aj their marriage pond much afraid of me as you were of that rascal below i am a gentleman and have lived in boston all my life i wonder what there is about me that makes you want to run away do i really look such a terrible villain she stole another glance at him and was partially reassured by the engaging smile on his countenance it is not that sir she stammered but there is nothing in common between a poor girl like me and an elegant gentleman like you if you wish to do me a real kindness you will leave me here to be insulted by another drunken be exclaimed no i must see you safely home it is you are not used to the treatment you have just received i judge that you are a stranger in boston in spite of herself she was being drawn into to his proposition and she felt herself growing less and less afraid ts i have not lived here long she responded her walk i do not know the streets very well i only left my room to breathe the air with no errand in view he laughed brightly t how remarkable he said f that is exactly my own case i had spent the whole day indoors and felt the necessity of a stroll do you live far here no she named the street j think it is only five minutes i can find it sir alone and i am sure no one will me now but he would not listen the street to which she was bound he said was on the direct road he was obliged to take and it was best that they go together at the doorway of a poor lodging house she stopped and announced that this was where she lived their marriage bond the extreme poverty of the surroundings would ordinarily have prevented a wish to go farther but there was something about this girl that made mr especially loth to leave her does your family live here he asked surveying the front of the house i have no family she replied i am all alone the sympathy written on his face aroused an answering in the girl s breast she did not like to be to him don t think me inquisitive he said but i am wonderfully interested in you you work for a ,1
1,104,be made to answer m s the girl thought this over recalling the appearance of the she had seen and then responded that an open cab for summer use and a closed one for winter would be acceptable supposing i am able to arrange these things said slowly how are you going to fix it with your father i should just tell him i was was the calm reply do you think he would raise no objection r if he did i should go without his consent he can do nothing for me if i got a chance to help myself i should be very silly to let him stand in my way what a very odd girl she was well said i will look about and see if anything can be done for you if i succeed and you get sent to a nice school for young ladies you will have to study hard and when you are fully established and get a little older perhaps i can find a husband for you he thought this amusing and supposed she would respond to the smile with which he made it but she took it with complete seriousness you are very kind she said you would be willing to be married oh yes i should want to this reply came very near taking his breath away i wish i liked marriage as well as that said he with a i suppose i shall have to go though in a few years and it gives me a pain every time i think about it you see i am not so rich as you take me to be and i must marry some girl who has a great deal of money would be a lady then grateful for the interest he had shown in her came to his rescue would marry you if i got money enough she said he started to his feet would you i m afraid i shall need more than you will have to offer after a few minutes more looked at the clock and said she must go home or her absence would attract notice promised to see what he could do and to let her know as early as possible then with the simplest of good by s she took her departure how she was what a pity she should be doomed to seclusion in the box like flat where the carpenter s family lived could it do anything for her these were the thoughts that ran through s mind during the next two hours he could do something if he liked the girl s idea of wealth was so simple it would take but little to satisfy her wants a boarding school in the country what clothes she would need at a and her pin money would hardly exceed his cigar and liquor bill it could all be arranged through a third party pretending to represent some benevolent lady or gentleman who had heard of the family and wished to do something for wished he had the right party to consult with but he bad only one friend in whom he confided and that was david he could not tell this to the with whom he had talked of that more serious matter a possible marriage with miss miss then there was dr liked par ton and would have told him of many things but not this one it was a peculiar idea that might not take in the right spirit no if he did it at all it must be through the of a lawyer and that is just what he did do he went to see mr who did not make half as much fuss about it as imagined he would and before a fortnight elapsed strange was taken into the little room that her people called a parlor and set face to face with a gray haired man in spectacles who had come with a generous and noble offer from a generous and noble personage whose name was not to be disclosed at present there was little hesitation on the part of strange in accepting this proposition he had long wondered what would become of his peculiar daughter who hated the commonest labor about the house and who said with something not resembling temper that she never never never would go out to work in any shop or factory when he heard of it tossed his head in a way that might mean almost anything except that he cared one way or the other it was mrs strange the accustomed to the ordinary things of life and fearful of all that was out of the range of her limited experience who cried when said she would be ready at the end of week to go with the gentleman and when the time came went with the gold bowed glasses and with the man who wore them charles had been consulted and had looked up the lawyer and found that he belonged fifteen million dollar to a great firm in the city whose reputation was very high indeed your fortune has come to you sooner than you expected said charles pleasantly to and you did not think it would ever come at all she responded half she went to see mr and told him of her good luck but he didn t act much interested she said she would write to him every day but he responded with an expression of comic fear that she must do nothing of the kind unless something extraordinary furnished a reason she must only write once a quarter the best thing is to have as little as possible to do with her he said to himself as from a place behind the shutters he watched her leave the house chapter vii fifteen million dollars the building was at last said by mr to be approaching completion according to the same authority it had been approaching completion for ,1
2,205,with such thorough good humour at this speech that fearful of having rather exceeded the bounds of propriety began to think she might as ell treat him with a little more consideration she was also aware that she was exposing herself to ridicule by displaying so much vexation at having been forsaken by for tie next ten minutes therefore all was smooth and agreeable at the of that time our gained the top of the slope and could perceive no traces of their companions on the wide extended heath before them s irritation now returned and she declared that it was ill natured of her mother and to leave her behind as she was growing very tired indeed cried mr r then you sadly over your powers you said you were sure you could walk to hill and back without bless me what can be done in this emergency how came you so to deceive yourself but added he glancing at her delicate and the pretty french glove that rested on his arm perhaps your in some measure depends on who is your companion was too much provoked to answer â well then pursued the abominable as silence gives consent am to infer that is the happy man poor me what i do to render myself less shall we turn back i am entirely at your disposal â no â well then let us make the best of our way forward and i will make myself as agreeable as i can shall i carry your for you â you wont let me â come then that little bag i long to be of service are there any in it as if i should carry said it might be worse filled though â this air is what mr green way calls very are you quite you are not deceiving me â here are a a smelling bottle and some keys â oh i understand pockets are gone out of w you are mistaken there are no keys are there not â i thought there were by the by i have some news for you have you an old and favourite of yours can you guess whom i mean no indeed try an old favourite and too â very very old i am sure i cannot imagine said carelessly i unless it is â unless that is a lucky guess of yours yes it is i had a letter from him this morning he has oxford and writes to tell me that â what do you think v how can i tell what to think â and i used to be very good when we were children but really that is so long ago that i have nearly forgotten him how can i guess what he has written about what s to him or he to repeated mr but indeed you must a little more curiosity respecting my before i it news you know is a london and as ribbons every thing from the great metropolis has a neat little profit on to it by the country so news is by far too scarce an article in a small hamlet to be disposed of for nothing e guess guess â i had said an thou me certainly mr seems a little touched this morning thought what ea i have made him so exceedingly absurd i suppose said she with as a tone and look as possible is going to be married if that is not it i have nothing else to guess whatever it is i care very little about it can that be true tr ie i assure you mr oh very well said he with a mischievous smile i w u not waste my news on a person who does not care for it and â i suspect this indifference is only assumed will punish yourself take care however that the news when it does reach you as reach you it certainly will does not come you like f r ft a how absurd said we shall see i said mr smiling he then continued to walk on silently knocking about the and pebbles which lay in the path with his cane till who was secretly curious to know his mighty intelligence asked him if he expected like the duke in as you hke it to find a sermon in the stones why possibly this flint said mr picking one up from beneath his feet might if it had a tongue chatter quite as much to the purpose as many for what reason we may imagine it to es am i left here in solitude in coarse or kicked out of the way by every peasant that crosses this path to pursue his daily labour when many other by no means so comely as myself are selected by the partial hand of man to raise the cottage wall or the generous spark v ah foolish flint you know not of what you complain borne hence in the object of your ambition the flint s basket you would find yourself exposed to many rude in that world which at distance seen so your inexperienced imagination hard blows from the workman s or against the sturdy steel administered by the greasy hands of a and even in what repose the filthy darkness of a kitchen drawer be grateful to me mistress flint for restoring you to your but peaceful abode in the where the soft breeze over you the blue sky shines above you and the and bloom at your side and know that your hie is a type of many a charming ir who sighs the gaiety of high life but is luckily condemned to remain in seclusion where would she but discover it the truest happiness is to be found well have i most eloquent nonsense certainly mr said â he smiling as she felt her ill humour rapidly away you are a very odd sort of person and though ,2
2,206,you like a little sometimes it is impossible to be out of temper with you long together â out of temper he do you j s so much give me thy hand come answer as did heart with it â i will put no unfair interpretation on the words i promise b you you well then i must say that are ft very odd sort of person too and that it is impossible to be out of r with long together we have made up out reconciliation just in time for sure enough there is the donkey chaise where you said it would be at the foot of the hill bo now it will be but fair that and should be left to toil in the rear as we have done while mrs you and i ascend the hill with the speed of the wind not even the conclusion of this speech could now put ro out of humour she walked forward briskly and they soon came up with the donkey party who looked the picture of content ran towards as she approached and offered her his arm thus supported on either side h told she k very well up the hill though her late complaints to mr her from again maintaining that she felt no they all to their place of with in high spirits and in the overflowing of her â many smiles and lively on mr thought he to himself my young lady is fairly caught for the present but it will not last long and i know why without stopping to search the meaning of this mysterious i know why we must proceed to the summit of the hill where mr as all had expected was much struck the view which opened before him it was too however he said to be a fit subject for a sketch it was vast but not picturesque much was discussed and on d mi grand masses broken light and shade at length mrs proposed returning mr does not seem quite ready to go observed ro see how ke stands with folded arms quite absorbed m meditation what are you considering mr f nothing very particular replied he turning round with a â i was merely letting myself be breathed on b this delicious wind or if i was thinking at all i believe it was that i rather hungry what a poetical exclaimed i expected to you bad been engaged in some very sublime v u tne leave to have y m yea i have well i have not the next time we compare tha relative of our ideas let us start ir on this point at present you have the advantage of me the laugh waa now against offered to walk and her younger sister seated herself in the chaise without complaint the and kept more together on return than they had done before and on reaching the white cottage they separated with mutual e â of satisfaction at their excursion chapter xl al the re t was made and finally granted whose secret admiration of was daily acquiring greater warmth and reality at first then seriously entreated her to sit to him for her picture and begged mrs to add her to his own the mother s pride in her daughters beauty was gratified she was also gained by s manner which seemed to attach just itâ without too great to the â respectful and though with was astonished at the proposal and shrunk with natural aversion from deliberately sitting to be looked at but when said he would not insist on her fixing her eyes on his ugly lamented the of finding ood and in conclusion proposed some subject m which he also introduce the portraits ef her and sister softened and at length yielded a reluctant the was rapidly chosen by the painter it should be the departure ot and for the holy and their parting from s was not of the oriental style but bo matter its y expressed moral beau dignity and ft ef the a darker the a h mi oe well and mrs s deeply and expressive countenance beneath a head dress could not fail to give interest to was enchanted with the subject and her mother and sister were scarcely less struck with s genius when they saw his rough sketch from the text kissed her mother in law but unto her the woman of many sorrows was seen turning her cheek to the retiring while supporting her arm and waist looked up in her face with tender as she prepared to lead ner steps through the desert which opened before th em in the distance amid palms and were seen the walls and towers of the city to which was while overhead was the glowing sky of an eastern climate nothing had been forgotten which was necessary to the complete of the scene saw at a glance that s sketch of her figure possessed much of the beau ideal and attributed to his partiality what she should rather have laid to his science the colours and arrived in a few days from town the former not exceeding the size of a cabinet picture as maintained that what would be gained by increased space would be lost in delicacy and that grandeur of design might as well be compressed into a as expanded on an altar piece the question now became where should the take place the parlour was too small to render the apparatus of very convenient or the smell very besides which the window with did not admit a sufficiently broad light it was resolved to place the in the garden beneath the huge tree the hedge was so high and thick as to prevent much chance of being overlooked but with the assistance of s clothes lines and a picturesque was stretched beneath the e to screen them entirely from observation and prevent the fluttering of the ,2
2,207,two as if by accident to let fall the words when i go into a to my no mortification he gravely and calmly if be indeed your final i can have nothing certainly to it but on the contrary recommend your withdrawing a little more from the which needs be as well as to you and to take all the means in your power which at are very great to and duties which will hereafter make the of your tell me however are you quite young as you are of having well and of knowing your own mind our laws are very gentle towards women and very careful of them â they may inherit and their lands at their own free will they may in courts of they may fit in the and they may marry at their own choice after fourteen and they can only be devoted to lives at by ic chronicle of led their own free will but if our laws render them independent of their friends control our give them the benefit of their friends advice and judgment do nothing my are you quite of your own mind in this matter but i wiped away a tear and would not by ic book iv j t came to after that there in a grievous before the there was a heavy fall of under which many men women and huts is it not written in the annals of alfred the king thereupon came forth the wolves fo in each other s that on die could be but the track of one they trotted along the of the bounded the narrow roads without leaving a and made for lone and then they and the air the watching their flocks by night could only keep them off by great fires if they were heavy to and their fires to decay the wolves fell on them and some hard about this time are recorded by ic chronicle of them with their flocks what to them were pens they would leap over walls eight feet high if they found within their they would attack them on the if oxen in their yards they flew at their throats they on many men women and children they dug up the dead in many they made no if one of their young ones a cry they bit him they dragged him by the tail till he learned to hold his peace when they had and were filled they retreated as they came with one ear thrown backward one in advance their low their eyes burning like fire their tails their traces as they the ground when they got to the wood they would face about and howl like the i am now under cover sometimes one wolf would come in advance and give a cry the fl to tempt one of the to come forth oft they the at other times a dog would be unable to from over the then there would a â hounds by ic chronicle of dreadful yell and he would be rent in pieces of all the pack alfred the king hunted much both in autumn and winter he paid a penny for every wolf s he was glad to put money in poor men s the times were fo bad he hunted and now and then a bear who were like in deer in he rewarded with a or a every man on sundays might hunt in the woods if fo be he interfered not with the king s hunting thus many of the poor were fed when the ground became hard and the did not lie much game was taken by the hand with the cold the king many of grain many of many wagon loads of and twigs that the people might be both warmed and fed as will always be the were and of certain complained unto that they were in the daily then came and before the king and his righteous face was red and faith why do you wrap in your why are you powerful but in you by ic chronicle of have been exalted but you not continue you hall be like the ears of wheat where will then be your pride if that is not then brought low enough it be you be deprived of that very dignity powers you fo much the king my father what words are which proceed out of your mouth ox have i taken what widow have i or what poor man have i ground to powder my is not i it were fuller in this matter you i have not been there are certain o king that have been in the daily you lie and you eat as much as it you and you delight in being a king and hear not the cry of them that have no therefore look to it or believe in my word that you be deprived of that kingdom in which you are hunted from one covert to another like a fox or a hare if you repent in time you find mercy the king made no and withdrew from him warm in his wrath by ic chronicle of as the cold trees were by it bread be and ere it could be eaten water in the and flood on end like an in the rivers the warm blood in our veins we of the kept at night there was much the harp went round and every man his lay or told his tale some told of bear and of wolves and that talked and of that could to be human and in and out of their of gold hunters in land that journey on to a place where gold is dug by as big as dogs with feet like unto the feet of the men leave the for the to and while they are at their the men take the gold of the who find the guarded by ,2
2,208,said wiping her poor eyes as dropped the money into her lap and pray what did he give them to you for nobly won for my trouble in going to him and wherefore did you go because he sent for me with a safe conduct and the governor himself took me with ever so many men at arms yes yes said in a subdued voice the grand people have all taken her up and it is the will of the lord and we must be mute since he has made her his mouth piece â well it s all a mystery and perplexity to me said not that i would for an instant the will of the lord if i knew it to be so it all seems so extraordinary extraordinary evils require extraordinary said and sometimes get them â â whatever a live duke a could want to see in your round pursued girls must be at a and what now vol l a noble purpose might his s grace say for curiosity was her sorrow a little he said he was sick and like to die and wanted to know if i could cure him if he had sent to me now said there would have been some sense in it for there s a many things i know how to treat with what grows in the fields and hedges but i thought it was one of the privileges of the rich to have a learned doctor whenever they liked whether they were ill or only fanciful without caring for the cost even if their were wrapped in gold leaf and what now might be his complaint he did not tell me said and drinking of his s self most likely said shortly that s what the rich mainly suffer from â well put in addressing himself nobly won to tis no good the matter i ve a good way to go home and a many things to do got you a horse and me and another have made up the price between us for it was a matter of sixteen so i hope you ll take care of it and not break its knees oh thank you uncle what can she want was beginning and while i was for it persisted that brave gentleman of yours came up that has taken your matter in hand â not the dark but the light one â the de don t you call him and he remembering to have seen me come out of this house asked me what i was about and whether it had any reference to you and when he found what it was he was well pleased and the horse for me by pointing out a little white about the knees l a noble purpose but lie said it was a good serviceable horse and more than equal to your apparel which was of the meanest and that he had been asking the de how he could send you such a suit but it seems he the younger squire had had light things said to him by the governor about going and all over the country with a young woman which had his feelings and so he was you should not be too smart the things will do very well said who was now blushing painfully at the words had put into the governor s they were entirely his own and quite a free translation of what de had said to him and he went on continued to speak of this extraordinary project and truly we may all thank heaven that so discreet and virtuous a gentleman has taken the matter in nobly won hand for if he had been some young fellow whose character was not worth you would have been just as ready to go with him i should not said indignantly while inwardly thanked his law for this hit well pursued if you get through it it will be more owing to him i think than to yourself is he then so discreet a gentleman as you say inquired anxiously â itself replied and the other from all i hear is just such another though a trifle younger both are turned thirty dear me thirty is no age at all said â â i grant you said it s the sense more than the age but these gentlemen have sense and virtue too a noble purpose there s some consolation in that said who was weeping softly while with her arm about her mother s neck was shedding rivers of tears on her bosom but without the least noise or any from her purpose go on go on brother said in a voice as weak as his wife s give us all the consolation you can by telling us whatever good you know of these gentlemen without any i have not forgotten the dream i had long years ago that was going along with soldiers and i did say at the time that sooner than it should come to pass i would drown her like a but now the time s come i don t find it so easy and here making an unfortunate attempt to laugh he only gave a sob you see said soothingly that you did not know the whole meaning of the nobly won dream and thought she was going off with the soldiers in a sort of way whereas the whole thing is quite respectable and approved by all the town here made a diversion by saying dinner is now ready and i hope you will partake of it for you have come a long way and must needs be hungry well i wondered what it was that made me so weak said and maybe that is the reason so as you are so pressing gossip i don t care if i take a fm not a bit hungry said oh but you must join us said or ,2
